,level_0,last_name,Player,index,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,status,retention,base_price_unit,base_price,Player_name,first_name
183,183,Behrendorff,Jason Behrendorff,183,75 Lakh,BOWLER,0.75,97.5,CSK,Royal Challengers Bangalore,sold,From Auction,Lakh,75,Jason_Behrendorff,Jason
184,184,Sharma,Karn Sharma,184,50 Lakh,BOWLER,0.5,65.0,CSK,Royal Challengers Bangalore,sold,From Auction,Lakh,50,Karn_Sharma,Karn
185,185,Prabhudessai,Suyash Prabhudessai,185,20 Lakh,ALL-ROUNDER,0.3,39.0,RCB,Royal Challengers Bangalore,sold,From Auction,Lakh,20,Suyash_Prabhudessai,Suyash
186,186,Milind,Chama Milind,186,20 Lakh,BOWLER,0.25,32.5,Not Participated,Royal Challengers Bangalore,sold,From Auction,Lakh,20,Chama_Milind,Chama
187,187,Deep,Akash Deep,187,20 Lakh,BOWLER,0.2,26.0,RCB,Royal Challengers Bangalore,sold,From Auction,Lakh,20,Akash_Deep,Akash
188,188,Gautam,Aneeshwar Gautam,188,20 Lakh,ALL-ROUNDER,0.2,26.0,Not Participated,Royal Challengers Bangalore,sold,From Auction,Lakh,20,Aneeshwar_Gautam,Aneeshwar
189,189,Sisodia,Luvnith Sisodia,189,20 Lakh,WICKETKEEPER,0.2,26.0,Not Participated,Royal Challengers Bangalore,sold,From Auction,Lakh,20,Luvnith_Sisodia,Luvnith
190,190,Samson,Sanju Samson,190,Retained,WICKETKEEPER,14.0,1820.0,RR,Rajasthan Royals,sold,Retained,Retained,0,Sanju_Samson,Sanju
191,191,Buttler,Jos Buttler,191,Retained,WICKETKEEPER,10.0,1300.0,RR,Rajasthan Royals,sold,Retained,Retained,0,Jos_Buttler,Jos
192,192,Krishna,Prasidh Krishna,192,1 Cr,BOWLER,10.0,1300.0,KKR,Rajasthan Royals,sold,From Auction,Cr,1,Prasidh_Krishna,Prasidh
193,193,Hetmyer,Shimron Hetmyer,193,1.5 Cr,BATTER,8.5,1105.0,DC,Rajasthan Royals,sold,From Auction,Cr,1.5,Shimron_Hetmyer,Shimron
194,194,Boult,Trent Boult,194,2 Cr,BOWLER,8.0,1040.0,MI,Rajasthan Royals,sold,From Auction,Cr,2,Trent_Boult,Trent
195,195,Padikkal,Devdutt Padikkal,195,2 Cr,BATTER,7.75,1007.5,RCB,Rajasthan Royals,sold,From Auction,Cr,2,Devdutt_Padikkal,Devdutt
196,196,Chahal,Yuzvendra Chahal,196,2 Cr,BOWLER,6.5,845.0,RCB,Rajasthan Royals,sold,From Auction,Cr,2,Yuzvendra_Chahal,Yuzvendra
197,197,Ashwin,R. Ashwin,197,2 Cr,ALL-ROUNDER,5.0,650.0,DC,Rajasthan Royals,sold,From Auction,Cr,2,R._Ashwin,R.
198,198,Jaiswal,Yashaswi Jaiswal,198,Retained,BATTER,4.0,520.0,RR,Rajasthan Royals,sold,Retained,Retained,0,Yashaswi_Jaiswal,Yashaswi
199,199,Parag,Riyan Parag,199,30 Lakh,ALL-ROUNDER,3.8,494.0,RR,Rajasthan Royals,sold,From Auction,Lakh,30,Riyan_Parag,Riyan
200,200,Saini,Navdeep Saini,200,75 Lakh,BOWLER,2.6,338.0,RCB,Rajasthan Royals,sold,From Auction,Lakh,75,Navdeep_Saini,Navdeep
201,201,Coulter-Nile,Nathan Coulter-Nile,201,2 Cr,BOWLER,2.0,260.0,MI,Rajasthan Royals,sold,From Auction,Cr,2,Nathan_Coulter-Nile,Nathan
202,202,Neesham,James Neesham,202,1.5 Cr,ALL-ROUNDER,1.5,195.0,MI,Rajasthan Royals,sold,From Auction,Cr,1.5,James_Neesham,James
203,203,Nair,Karun Nair,203,50 Lakh,BATTER,1.4,182.0,KKR,Rajasthan Royals,sold,From Auction,Lakh,50,Karun_Nair,Karun
204,204,Van_Der_Dussen,Rassie Van Der Dussen,204,1 Cr,BATTER,1.0,130.0,Not Participated,Rajasthan Royals,sold,From Auction,Cr,1,Rassie_Van_Der_Dussen,Rassie
205,205,Mccoy,Obed Mccoy,205,75 Lakh,BOWLER,0.75,97.5,Not Participated,Rajasthan Royals,sold,From Auction,Lakh,75,Obed_Mccoy,Obed
206,206,Mitchell,Daryl Mitchell,206,75 Lakh,ALL-ROUNDER,0.75,97.5,Not Participated,Rajasthan Royals,sold,From Auction,Lakh,75,Daryl_Mitchell,Daryl
207,207,Cariappa,K.C Cariappa,207,20 Lakh,BOWLER,0.3,39.0,RR,Rajasthan Royals,sold,From Auction,Lakh,20,K.C_Cariappa,K.C
208,208,Singh,Anunay Singh,208,20 Lakh,ALL-ROUNDER,0.2,26.0,Not Participated,Rajasthan Royals,sold,From Auction,Lakh,20,Anunay_Singh,Anunay
209,209,Sen,Kuldeep Sen,209,20 Lakh,BOWLER,0.2,26.0,Not Participated,Rajasthan Royals,sold,From Auction,Lakh,20,Kuldeep_Sen,Kuldeep
210,210,Jurel,Dhruv Jurel,210,20 Lakh,WICKETKEEPER,0.2,26.0,Not Participated,Rajasthan Royals,sold,From Auction,Lakh,20,Dhruv_Jurel,Dhruv
211,211,Baroka,Tejas Baroka,211,20 Lakh,BOWLER,0.2,26.0,Not Participated,Rajasthan Royals,sold,From Auction,Lakh,20,Tejas_Baroka,Tejas
212,212,Yadav,Kuldip Yadav,212,20 Lakh,BOWLER,0.2,26.0,RR,Rajasthan Royals,sold,From Auction,Lakh,20,Kuldip_Yadav,Kuldip
213,213,Garhwal,Shubham Garhwal,213,20 Lakh,ALL-ROUNDER,0.2,26.0,Not Participated,Rajasthan Royals,sold,From Auction,Lakh,20,Shubham_Garhwal,Shubham
214,214,Williamson,Kane Williamson,214,Retained,BATTER,14.0,1820.0,SRH,Sunrisers Hyderabad,sold,Retained,Retained,0,Kane_Williamson,Kane
215,215,Pooran,Nicholas Pooran,215,1.5 Cr,WICKETKEEPER,10.75,1397.5,PBKS,Sunrisers Hyderabad,sold,From Auction,Cr,1.5,Nicholas_Pooran,Nicholas
216,216,Sundar,Washington Sundar,216,1.5 Cr,ALL-ROUNDER,8.75,1137.5,RCB,Sunrisers Hyderabad,sold,From Auction,Cr,1.5,Washington_Sundar,Washington
217,217,Tripathi,Rahul Tripathi,217,40 Lakh,BATTER,8.5,1105.0,KKR,Sunrisers Hyderabad,sold,From Auction,Lakh,40,Rahul_Tripathi,Rahul
218,218,Shepherd,Romario Shepherd,218,75 Lakh,ALL-ROUNDER,7.75,1007.5,Not Participated,Sunrisers Hyderabad,sold,From Auction,Lakh,75,Romario_Shepherd,Romario
219,219,Sharma,Abhishek Sharma,219,20 Lakh,ALL-ROUNDER,6.5,845.0,SRH,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Abhishek_Sharma,Abhishek
220,220,Jansen,Marco Jansen,220,50 Lakh,ALL-ROUNDER,4.2,546.0,MI,Sunrisers Hyderabad,sold,From Auction,Lakh,50,Marco_Jansen,Marco
221,221,Kumar,Bhuvneshwar Kumar,221,2 Cr,BOWLER,4.2,546.0,SRH,Sunrisers Hyderabad,sold,From Auction,Cr,2,Bhuvneshwar_Kumar,Bhuvneshwar
222,222,Natarajan,T. Natarajan,222,1 Cr,BOWLER,4.0,520.0,SRH,Sunrisers Hyderabad,sold,From Auction,Cr,1,T._Natarajan,T.
223,223,Samad,Abdul Samad,223,Retained,ALL-ROUNDER,4.0,520.0,SRH,Sunrisers Hyderabad,sold,Retained,Retained,0,Abdul_Samad,Abdul
224,224,Malik,Umran Malik,224,Retained,BOWLER,4.0,520.0,SRH,Sunrisers Hyderabad,sold,Retained,Retained,0,Umran_Malik,Umran
225,225,Tyagi,Kartik Tyagi,225,20 Lakh,BOWLER,4.0,520.0,RR,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Kartik_Tyagi,Kartik
226,226,Markram,Aiden Markram,226,1 Cr,BATTER,2.6,338.0,PBKS,Sunrisers Hyderabad,sold,From Auction,Cr,1,Aiden_Markram,Aiden
227,227,Abbott,Sean Abbott,227,75 Lakh,BOWLER,2.4,312.0,Not Participated,Sunrisers Hyderabad,sold,From Auction,Lakh,75,Sean_Abbott,Sean
228,228,Phillips,Glenn Phillips,228,1.5 Cr,WICKETKEEPER,1.5,195.0,RR,Sunrisers Hyderabad,sold,From Auction,Cr,1.5,Glenn_Phillips,Glenn
229,229,Gopal,Shreyas Gopal,229,20 Lakh,BOWLER,0.75,97.5,RR,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Shreyas_Gopal,Shreyas
230,230,Vinod,Vishnu Vinod,230,20 Lakh,WICKETKEEPER,0.5,65.0,DC,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Vishnu_Vinod,Vishnu
231,231,Farooqi,Fazalhaq Farooqi,231,50 Lakh,BOWLER,0.5,65.0,Not Participated,Sunrisers Hyderabad,sold,From Auction,Lakh,50,Fazalhaq_Farooqi,Fazalhaq
232,232,Garg,Priyam Garg,232,20 Lakh,BATTER,0.2,26.0,SRH,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Priyam_Garg,Priyam
233,233,Samarth,R Samarth,233,20 Lakh,BATTER,0.2,26.0,Not Participated,Sunrisers Hyderabad,sold,From Auction,Lakh,20,R_Samarth,R
234,234,Suchith,Jagadeesha Suchith,234,20 Lakh,BOWLER,0.2,26.0,SRH,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Jagadeesha_Suchith,Jagadeesha
235,235,Singh,Shashank Singh,235,20 Lakh,ALL-ROUNDER,0.2,26.0,Not Participated,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Shashank_Singh,Shashank
236,236,Dubey,Saurabh Dubey,236,20 Lakh,BOWLER,0.2,26.0,Not Participated,Sunrisers Hyderabad,sold,From Auction,Lakh,20,Saurabh_Dubey,Saurabh
237,237,Raina,Suresh Raina,237,2 Cr,BATTER,0.0,0.0,CSK,Unsold,Unsold,From Auction,Cr,2,Suresh_Raina,Suresh
238,238,Smith,Steve Smith,238,2 Cr,BATTER,0.0,0.0,DC,Unsold,Unsold,From Auction,Cr,2,Steve_Smith,Steve
239,239,Al_Hasan,Shakib Al Hasan,239,2 Cr,ALL-ROUNDER,0.0,0.0,KKR,Unsold,Unsold,From Auction,Cr,2,Shakib_Al_Hasan,Shakib
241,241,Rashid,Adil Rashid,241,2 Cr,BOWLER,0.0,0.0,PBKS,Unsold,Unsold,From Auction,Cr,2,Adil_Rashid,Adil
242,242,Tahir,Imran Tahir,242,2 Cr,BOWLER,0.0,0.0,CSK,Unsold,Unsold,From Auction,Cr,2,Imran_Tahir,Imran
243,243,Zadran,Mujeeb Zadran,243,2 Cr,BOWLER,0.0,0.0,SRH,Unsold,Unsold,From Auction,Cr,2,Mujeeb_Zadran,Mujeeb
244,244,Zampa,Adam Zampa,244,2 Cr,BOWLER,0.0,0.0,RCB,Unsold,Unsold,From Auction,Cr,2,Adam_Zampa,Adam
245,245,Patidar,Rajat Patidar,245,20 Lakh,BATTER,0.0,0.0,RCB,Unsold,Unsold,From Auction,Lakh,20,Rajat_Patidar,Rajat
246,246,Azharuddeen,Mohammed Azharuddeen,246,20 Lakh,WICKETKEEPER,0.0,0.0,RCB,Unsold,Unsold,From Auction,Lakh,20,Mohammed_Azharuddeen,Mohammed
247,247,Solanki,Vishnu Solanki,247,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Vishnu_Solanki,Vishnu
248,248,Lamichhane,Sandeep Lamichhane,248,40 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,40,Sandeep_Lamichhane,Sandeep
249,249,Siddharth,M. Siddharth,249,20 Lakh,BOWLER,0.0,0.0,DC,Unsold,Unsold,From Auction,Lakh,20,M._Siddharth,M.
250,250,Finch,Aaron Finch,250,1.5 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,1.5,Aaron_Finch,Aaron
251,251,Labuschagne,Marnus Labuschagne,251,1 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,1,Marnus_Labuschagne,Marnus
252,252,Malan,Dawid Malan,252,1.5 Cr,BATTER,0.0,0.0,PBKS,Unsold,Unsold,From Auction,Cr,1.5,Dawid_Malan,Dawid
253,253,Morgan,Eoin Morgan,253,1.5 Cr,BATTER,0.0,0.0,KKR,Unsold,Unsold,From Auction,Cr,1.5,Eoin_Morgan,Eoin
254,254,Pujara,Cheteshwar Pujara,254,50 Lakh,BATTER,0.0,0.0,CSK,Unsold,Unsold,From Auction,Lakh,50,Cheteshwar_Pujara,Cheteshwar
255,255,Tiwary,Saurabh Tiwary,255,50 Lakh,BATTER,0.0,0.0,MI,Unsold,Unsold,From Auction,Lakh,50,Saurabh_Tiwary,Saurabh
256,256,Cottrell,Sheldon Cottrell,256,75 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,75,Sheldon_Cottrell,Sheldon
257,257,Sharma,Ishant Sharma,257,1.5 Cr,BOWLER,0.0,0.0,DC,Unsold,Unsold,From Auction,Cr,1.5,Ishant_Sharma,Ishant
258,258,Ahmad,Qais Ahmad,258,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Qais_Ahmad,Qais
259,259,Chawla,Piyush Chawla,259,1 Cr,BOWLER,0.0,0.0,MI,Unsold,Unsold,From Auction,Cr,1,Piyush_Chawla,Piyush
260,260,Shamsi,Tabraiz Shamsi,260,1 Cr,BOWLER,0.0,0.0,RR,Unsold,Unsold,From Auction,Cr,1,Tabraiz_Shamsi,Tabraiz
261,261,Sodhi,Ish Sodhi,261,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Ish_Sodhi,Ish
262,262,Baby,Sachin Baby,262,20 Lakh,BATTER,0.0,0.0,RCB,Unsold,Unsold,From Auction,Lakh,20,Sachin_Baby,Sachin
263,263,Bhui,Ricky Bhui,263,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Ricky_Bhui,Ricky
264,264,Rana,Himanshu Rana,264,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Himanshu_Rana,Himanshu
265,265,Singh,Harnoor Singh,265,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Harnoor_Singh,Harnoor
266,266,Singh,Himmat Singh,266,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Himmat_Singh,Himmat
267,267,Singh,Virat Singh,267,20 Lakh,BATTER,0.0,0.0,SRH,Unsold,Unsold,From Auction,Lakh,20,Virat_Singh,Virat
268,268,Nagwaswalla,Arzan Nagwaswalla,268,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Arzan_Nagwaswalla,Arzan
269,269,Singh,Akash Singh,269,20 Lakh,BOWLER,0.0,0.0,RR,Unsold,Unsold,From Auction,Lakh,20,Akash_Singh,Akash
270,270,Thakur,Yash Thakur,270,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Yash_Thakur,Yash
271,271,Vats,Vasu Vats,271,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Vasu_Vats,Vasu
272,272,Yousuf,Mujtaba Yousuf,272,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Mujtaba_Yousuf,Mujtaba
273,273,Lynn,Chris Lynn,273,1.5 Cr,BATTER,0.0,0.0,MI,Unsold,Unsold,From Auction,Cr,1.5,Chris_Lynn,Chris
274,274,Zadran,Najibullah Zadran,274,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Najibullah_Zadran,Najibullah
275,275,Asalanka,Charith Asalanka,275,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Charith_Asalanka,Charith
276,276,Garton,George Garton,276,50 Lakh,ALL-ROUNDER,0.0,0.0,RCB,Unsold,Unsold,From Auction,Lakh,50,George_Garton,George
277,277,Das,Litton Das,277,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Litton_Das,Litton
278,278,Dickwella,Niroshan Dickwella,278,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Niroshan_Dickwella,Niroshan
279,279,Fletcher,Andre Fletcher,279,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Andre_Fletcher,Andre
280,280,Gurbaz,Rahmanullah Gurbaz,280,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Rahmanullah_Gurbaz,Rahmanullah
281,281,Hope,Shai Hope,281,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Shai_Hope,Shai
282,282,Klaasen,Heinrich Klaasen,282,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Heinrich_Klaasen,Heinrich
283,283,Mcdermott,Ben Mcdermott,283,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Ben_Mcdermott,Ben
284,284,Mendis,Kusal Mendis,284,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Kusal_Mendis,Kusal
285,285,Perera,Kusal Perera,285,50 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Kusal_Perera,Kusal
286,286,Philippe,Joshua Philippe,286,1 Cr,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,1,Joshua_Philippe,Joshua
287,287,Topley,Reece Topley,287,75 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,75,Reece_Topley,Reece
288,288,Tye,Andrew Tye,288,1 Cr,BOWLER,0.0,0.0,RR,Unsold,Unsold,From Auction,Cr,1,Andrew_Tye,Andrew
289,289,Warrier,Sandeep Warrier,289,50 Lakh,BOWLER,0.0,0.0,KKR,Unsold,Unsold,From Auction,Lakh,50,Sandeep_Warrier,Sandeep
290,290,Astle,Todd Astle,290,75 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,75,Todd_Astle,Todd
291,291,Dhananjaya,Akila Dhananjaya,291,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Akila_Dhananjaya,Akila
292,292,Khan,Zahir Khan,292,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Zahir_Khan,Zahir
293,293,Maharaj,Keshav Maharaj,293,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Keshav_Maharaj,Keshav
294,294,Salamkheil,Waqar Salamkheil,294,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Waqar_Salamkheil,Waqar
295,295,Sharma,Rahul Sharma,295,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Rahul_Sharma,Rahul
296,296,Walsh,Hayden Walsh,296,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Hayden_Walsh,Hayden
297,297,Agarwal,Tanmay Agarwal,297,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Tanmay_Agarwal,Tanmay
298,298,Chauhan,Shivam Chauhan,298,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Shivam_Chauhan,Shivam
299,299,Gangta,Nikhil Gangta,299,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Nikhil_Gangta,Nikhil
300,300,Kadam,Rohan Kadam,300,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Rohan_Kadam,Rohan
301,301,Kohler-Cadmore,Tom Kohler-Cadmore,301,40 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,40,Tom_Kohler-Cadmore,Tom
302,302,Panchal,Priyank Panchal,302,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Priyank_Panchal,Priyank
303,303,Rizvi,Sameer Rizvi,303,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Sameer_Rizvi,Sameer
304,304,Roy_Chowdhury,Ritwik Roy Chowdhury,304,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Ritwik_Roy_Chowdhury,Ritwik
305,305,Wankhade,Apoorv Wankhade,305,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Apoorv_Wankhade,Apoorv
306,306,Ankolekar,Atharva Ankolekar,306,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Atharva_Ankolekar,Atharva
307,307,Thyagarajan,Tanay Thyagarajan,307,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Tanay_Thyagarajan,Tanay
308,308,Bains,Ankush Bains,308,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Ankush_Bains,Ankush
309,309,Chopra,Prashant Chopra,309,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Prashant_Chopra,Prashant
310,310,Devdhar,Kedar Devdhar,310,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Kedar_Devdhar,Kedar
311,311,Goswami,Shreevats Goswami,311,20 Lakh,WICKETKEEPER,0.0,0.0,SRH,Unsold,Unsold,From Auction,Lakh,20,Shreevats_Goswami,Shreevats
312,312,Nath,Akshdeep Nath,312,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Akshdeep_Nath,Akshdeep
313,313,Tare,Aditya Tare,313,20 Lakh,WICKETKEEPER,0.0,0.0,MI,Unsold,Unsold,From Auction,Lakh,20,Aditya_Tare,Aditya
314,314,Singh_Yadav,Upendra Singh Yadav,314,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Upendra_Singh_Yadav,Upendra
315,315,Dwarshuis,Ben Dwarshuis,315,30 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,30,Ben_Dwarshuis,Ben
316,316,Jaswal,Pankaj Jaswal,316,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Pankaj_Jaswal,Pankaj
317,317,Hussain_Meriwala,Lukman Hussain Meriwala,317,20 Lakh,BOWLER,0.0,0.0,DC,Unsold,Unsold,From Auction,Lakh,20,Lukman_Hussain_Meriwala,Lukman
318,318,Vijay_Kumar,Vyshak Vijay Kumar,318,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Vyshak_Vijay_Kumar,Vyshak
319,319,Ansari,Zeeshan Ansari,319,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Zeeshan_Ansari,Zeeshan
320,320,Chudasama,Yuvraj Chudasama,320,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Yuvraj_Chudasama,Yuvraj
321,321,Jadeja,Dharmendrasinh Jadeja,321,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Dharmendrasinh_Jadeja,Dharmendrasinh
322,322,Kense,Khrievitso Kense,322,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Khrievitso_Kense,Khrievitso
323,323,Balwant_Rai,Prince Balwant Rai,323,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Prince_Balwant_Rai,Prince
324,324,Sahu,Pardeep Sahu,324,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Pardeep_Sahu,Pardeep
325,325,Saxena,Jalaj Saxena,325,30 Lakh,BOWLER,0.0,0.0,PBKS,Unsold,Unsold,From Auction,Lakh,30,Jalaj_Saxena,Jalaj
326,326,Sudhesan,Midhun Sudhesan,326,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,20,Midhun_Sudhesan,Midhun
327,327,Guptill,Martin Guptill,327,75 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,75,Martin_Guptill,Martin
328,328,Khawaja,Usman Khawaja,328,1.5 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,1.5,Usman_Khawaja,Usman
329,329,King,Brandon King,329,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Brandon_King,Brandon
330,330,Malan,Janneman Malan,330,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Janneman_Malan,Janneman
331,331,Rossouw,Rilee Rossouw,331,1 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,1,Rilee_Rossouw,Rilee
332,332,Stirling,Paul Stirling,332,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Paul_Stirling,Paul
333,333,Vihari,Hanuma Vihari,333,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Hanuma_Vihari,Hanuma
334,334,Vince,James Vince,334,2 Cr,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,2,James_Vince,James
335,335,Zazai,Hazratullah Zazai,335,50 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Hazratullah_Zazai,Hazratullah
336,336,Chase,Roston Chase,336,1 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,1,Roston_Chase,Roston
337,337,Cutting,Ben Cutting,337,75 Lakh,ALL-ROUNDER,0.0,0.0,KKR,Unsold,Unsold,From Auction,Lakh,75,Ben_Cutting,Ben
338,338,Gregory,Lewis Gregory,338,1.5 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Cr,1.5,Lewis_Gregory,Lewis
339,339,Henriques,Moises Henriques,339,1 Cr,ALL-ROUNDER,0.0,0.0,PBKS,Unsold,Unsold,From Auction,Cr,1,Moises_Henriques,Moises
340,340,Hosein,Akeal Hosein,340,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Akeal_Hosein,Akeal
341,341,Janat,Karim Janat,341,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold,From Auction,Lakh,50,Karim_Janat,Karim
342,342,Kuggeleijn,Scott Kuggeleijn,342,75 Lakh,ALL-ROUNDER,0.0,0.0,RCB,Unsold,Unsold,From Auction,Lakh,75,Scott_Kuggeleijn,Scott
