last_name1,Player_of_Match,M_O_M_Count,Player_name1,first_name1
Kartik,M Kartik,1,M_Kartik,M
Morkel,M Morkel,2,M_Morkel,M
Muralitharan,M Muralitharan,2,M_Muralitharan,M
Ntini,M Ntini,2,M_Ntini,M
Vijay,M Vijay,6,M_Vijay,M
Vohra,M Vohra,3,M_Vohra,M
Agarwal,MA Agarwal,3,MA_Agarwal,MA
Starc,MA Starc,1,MA_Starc,MA
Henriques,MC Henriques,2,MC_Henriques,MC
Mishra,MD Mishra,1,MD_Mishra,MD
Hussey,MEK Hussey,12,MEK_Hussey,MEK
Maharoof,MF Maharoof,1,MF_Maharoof,MF
Johnson,MG Johnson,2,MG_Johnson,MG
Lumb,MJ Lumb,1,MJ_Lumb,MJ
McClenaghan,MJ McClenaghan,2,MJ_McClenaghan,MJ
Pandey,MK Pandey,5,MK_Pandey,MK
Tiwary,MK Tiwary,3,MK_Tiwary,MK
Hayden,ML Hayden,4,ML_Hayden,ML
Ali,MM Ali,1,MM_Ali,MM
Patel,MM Patel,2,MM_Patel,MM
Sharma,MM Sharma,2,MM_Sharma,MM
Samuels,MN Samuels,1,MN_Samuels,MN
Stoinis,MP Stoinis,4,MP_Stoinis,MP
Marsh,MR Marsh,1,MR_Marsh,MR
Bisla,MS Bisla,1,MS_Bisla,MS
Dhoni,MS Dhoni,17,MS_Dhoni,MS
Gony,MS Gony,1,MS_Gony,MS
Boucher,MV Boucher,2,MV_Boucher,MV
Singh,Mandeep Singh,3,Mandeep_Singh,Mandeep
Shami,Mohammed Shami,1,Mohammed_Shami,Mohammed
Siraj,Mohammed Siraj,2,Mohammed_Siraj,Mohammed
Ur_Rahman,Mujeeb Ur Rahman,1,Mujeeb_Ur_Rahman,Mujeeb
Rahman,Mustafizur Rahman,1,Mustafizur_Rahman,Mustafizur
Rana,N Rana,5,N_Rana,N
Coulter-Nile,NM Coulter-Nile,5,NM_Coulter-Nile,NM
Ojha,NV Ojha,1,NV_Ojha,NV
Kumar,P Kumar,2,P_Kumar,P
Negi,P Negi,2,P_Negi,P
Parameswaran,P Parameswaran,1,P_Parameswaran,P
Patel,PA Patel,5,PA_Patel,PA
Valthaty,PC Valthaty,2,PC_Valthaty,PC
Collingwood,PD Collingwood,1,PD_Collingwood,PD
Cummins,PJ Cummins,1,PJ_Cummins,PJ
Garg,PK Garg,1,PK_Garg,PK
Chawla,PP Chawla,3,PP_Chawla,PP
Ojha,PP Ojha,1,PP_Ojha,PP
Shaw,PP Shaw,4,PP_Shaw,PP
Tambe,PV Tambe,2,PV_Tambe,PV
de_Kock,Q de Kock,4,Q_de_Kock,Q
Ashwin,R Ashwin,3,R_Ashwin,R
Bhatia,R Bhatia,1,R_Bhatia,R
Dravid,R Dravid,2,R_Dravid,R
McLaren,R McLaren,1,R_McLaren,R
Sharma,R Sharma,2,R_Sharma,R
Tewatia,R Tewatia,1,R_Tewatia,R
Vinay_Kumar,R Vinay Kumar,3,R_Vinay_Kumar,R
Jadeja,RA Jadeja,11,RA_Jadeja,RA
Tripathi,RA Tripathi,2,RA_Tripathi,RA
Chahar,RD Chahar,1,RD_Chahar,RD
Gaikwad,RD Gaikwad,7,RD_Gaikwad,RD
Levi,RE Levi,1,RE_Levi,RE
Sharma,RG Sharma,18,RG_Sharma,RG
Harris,RJ Harris,1,RJ_Harris,RJ
Singh,RP Singh,1,RP_Singh,RP
Pant,RR Pant,6,RR_Pant,RR
Bopara,RS Bopara,1,RS_Bopara,RS
Uthappa,RV Uthappa,7,RV_Uthappa,RV
Khan,Rashid Khan,8,Rashid_Khan,Rashid
Anirudha,S Anirudha,1,S_Anirudha,S
Aravind,S Aravind,1,S_Aravind,S
Badrinath,S Badrinath,1,S_Badrinath,S
Dhawan,S Dhawan,10,S_Dhawan,S
Gopal,S Gopal,2,S_Gopal,S
Nadeem,S Nadeem,2,S_Nadeem,S
Sohal,S Sohal,1,S_Sohal,S
Sreesanth,S Sreesanth,1,S_Sreesanth,S
Asnodkar,SA Asnodkar,1,SA_Asnodkar,SA
Yadav,SA Yadav,5,SA_Yadav,SA
Jakati,SB Jakati,1,SB_Jakati,SB
Wagh,SB Wagh,1,SB_Wagh,SB
Ganguly,SC Ganguly,5,SC_Ganguly,SC
Marsh,SE Marsh,9,SE_Marsh,SE
Raina,SK Raina,14,SK_Raina,SK
Trivedi,SK Trivedi,2,SK_Trivedi,SK
Warne,SK Warne,4,SK_Warne,SK
Malinga,SL Malinga,6,SL_Malinga,SL
Curran,SM Curran,1,SM_Curran,SM
Katich,SM Katich,1,SM_Katich,SM
Pollock,SM Pollock,2,SM_Pollock,SM
Hetmyer,SO Hetmyer,1,SO_Hetmyer,SO
Goswami,SP Goswami,1,SP_Goswami,SP
Narine,SP Narine,12,SP_Narine,SP
Smith,SPD Smith,5,SPD_Smith,SPD
Tendulkar,SR Tendulkar,8,SR_Tendulkar,SR
Watson,SR Watson,16,SR_Watson,SR
Iyer,SS Iyer,6,SS_Iyer,SS
Jayasuriya,ST Jayasuriya,2,ST_Jayasuriya,ST
Samson,SV Samson,8,SV_Samson,SV
Billings,SW Billings,1,SW_Billings,SW
Sharma,Sandeep Sharma,6,Sandeep_Sharma,Sandeep
Al_Hasan,Shakib Al Hasan,2,Shakib_Al_Hasan,Shakib
