last_name1,Player_of_Match,M_O_M_Count,Player_name1,first_name1
Mascarenhas,AD Mascarenhas,1,AD_Mascarenhas,AD
Mathews,AD Mathews,1,AD_Mathews,AD
Mavi,Shivam Mavi,2,Shivam_Mavi,Shivam
Maxwell,GJ Maxwell,8,Glenn_Maxwell,Glenn
McClenaghan,MJ McClenaghan,2,MJ_McClenaghan,MJ
McCullum,BB McCullum,5,BB_McCullum,BB
McGrath,GD McGrath,1,GD_McGrath,GD
McLaren,R McLaren,1,R_McLaren,R
Miller,DA Miller,3,David_Miller,David
Mishra,A Mishra,12,Amit_Mishra,Amit
Mishra,MD Mishra,1,MD_Mishra,MD
Morgan,EJG Morgan,2,Eoin_Morgan,Eoin
Morkel,M Morkel,2,JA_Morkel,JA
Morkel,JA Morkel,2,M_Morkel,M
Morris,CH Morris,3,CH_Morris,CH
Muralitharan,M Muralitharan,2,M_Muralitharan,M
Nadeem,S Nadeem,2,Shahbaz_Nadeem,Shahbaz
Nair,KK Nair,3,Karun_Nair,Karun
Nannes,DP Nannes,1,DP_Nannes,DP
Narine,SP Narine,12,Sunil_Narine,Sunil
Negi,P Negi,2,Pawan_Negi,Pawan
Nehra,A Nehra,6,Ashish_Nehra,Ashish
Ngidi,L Ngidi,1,Lungisani_Ngidi,Lungisani
Nortje,A Nortje,3,Anrich_Nortje,Anrich
Ntini,M Ntini,2,M_Ntini,M
Ojha,PP Ojha,1,NV_Ojha,NV
Ojha,NV Ojha,1,PP_Ojha,PP
Oram,JDP Oram,1,JDP_Oram,JDP
Padikkal,D Padikkal,1,Devdutt_Padikkal,Devdutt
Pandey,MK Pandey,5,Manish_Pandey,Manish
Pandya,KH Pandya,4,Hardik_Pandya,Hardik
Pandya,HH Pandya,6,Krunal_Pandya,Krunal
Pant,RR Pant,6,Rishabh_Pant,Rishabh
Parameswaran,P Parameswaran,1,P_Parameswaran,P
Patel,MM Patel,2,Axar_Patel,Axar
Patel,AR Patel,7,Harshal_Patel,Harshal
Patel,PA Patel,5,MM_Patel,MM
Patel,HV Patel,3,PA_Patel,PA
Pathan,YK Pathan,16,IK_Pathan,IK
Pathan,IK Pathan,2,YK_Pathan,YK
Paul,KMA Paul,1,Keemo_Paul,Keemo
Pietersen,KP Pietersen,3,KP_Pietersen,KP
Pollard,KA Pollard,14,Kieron_Pollard,Kieron
Pollock,SM Pollock,2,SM_Pollock,SM
Rabada,K Rabada,1,Kagiso_Rabada,Kagiso
Rahane,AM Rahane,12,Ajinkya_Rahane,Ajinkya
Rahman,Mustafizur Rahman,1,Mustafizur_Rahman,Mustafizur
Rahul,KL Rahul,10,KL_Rahul,KL
Raina,SK Raina,14,Suresh_Raina,Suresh
Rajpoot,AS Rajpoot,2,AS_Rajpoot,AS
Rana,N Rana,5,Nitish_Rana,Nitish
Rayudu,AT Rayudu,10,Ambati_Rayudu,Ambati
Roy,JJ Roy,2,Jason_Roy,Jason
Russell,AD Russell,11,Andre_Russell,Andre
Ryder,JD Ryder,1,JD_Ryder,JD
Saha,WP Saha,4,Wriddhiman_Saha,Wriddhiman
Sammy,DJG Sammy,1,DJG_Sammy,DJG
Samson,SV Samson,8,Sanju_Samson,Sanju
Samuels,MN Samuels,1,MN_Samuels,MN
Sangakkara,KC Sangakkara,5,KC_Sangakkara,KC
Sehwag,V Sehwag,11,V_Sehwag,V
Shami,Mohammed Shami,1,Mohammad_Shami,Mohammad
Sharma,Sandeep Sharma,6,Sandeep_Sharma,Sandeep
Sharma,I Sharma,2,I_Sharma,I
Sharma,RG Sharma,18,RG_Sharma,RG
Sharma,KV Sharma,1,KV_Sharma,KV
Sharma,MM Sharma,2,MM_Sharma,MM
Sharma,R Sharma,2,Rohit_Sharma,Rohit
Shaw,PP Shaw,4,Prithvi_Shaw,Prithvi
Shukla,LR Shukla,1,Rahul_Shukla,Rahul
Simmons,LMP Simmons,3,LMP_Simmons,LMP
Singh,RP Singh,1,RP_Singh,RP
Singh,Harbhajan Singh,8,Harbhajan_Singh,Harbhajan
Singh,Harmeet Singh,2,Harmeet_Singh,Harmeet
Singh,Mandeep Singh,3,Mandeep_Singh,Mandeep
Singh,A Singh,1,A_Singh,A
Singh,Yuvraj Singh,5,Yuvraj_Singh,Yuvraj
Siraj,Mohammed Siraj,2,Mohammed_Siraj,Mohammed
Smith,SPD Smith,5,SPD_Smith,SPD
Smith,DR Smith,11,DR_Smith,DR
Smith,GC Smith,2,GC_Smith,GC
Sohal,S Sohal,1,S_Sohal,S
Southee,TG Southee,1,Tim_Southee,Tim
Sreesanth,S Sreesanth,1,S_Sreesanth,S
Stanlake,B Stanlake,1,Billy_Stanlake,Billy
Starc,MA Starc,1,MA_Starc,MA
Steyn,DW Steyn,5,DW_Steyn,DW
Stoinis,MP Stoinis,4,Marcus_Stoinis,Marcus
Stokes,BA Stokes,5,BA_Stokes,BA
Suman,TL Suman,1,TL_Suman,TL
Sundar,Washington Sundar,1,Washington_Sundar,Washington
Symonds,A Symonds,3,Adam_Symonds,Adam
Tahir,Imran Tahir,1,Imran_Tahir,Imran
Tambe,PV Tambe,2,PV_Tambe,PV
Tanvir,Sohail Tanvir,2,Sohail_Tanvir,Sohail
Tare,AP Tare,1,Aditya_Tare,Aditya
Taylor,LRPL Taylor,3,LRPL_Taylor,LRPL
Tendulkar,SR Tendulkar,8,SR_Tendulkar,SR
Tewatia,R Tewatia,1,Rahul_Tewatia,Rahul
Theron,J Theron,1,J_Theron,J
Tiwary,MK Tiwary,3,Manoj_Tiwary,Manoj
Tripathi,RA Tripathi,2,Rahul_Tripathi,Rahul
Trivedi,SK Trivedi,2,Sagar_Trivedi,Sagar
Tyagi,Kartik Tyagi,1,Kartik_Tyagi,Kartik
Tye,AJ Tye,2,Andrew_Tye,Andrew
Unadkat,JD Unadkat,6,Jaydev_Unadkat,Jaydev
Ur_Rahman,Mujeeb Ur Rahman,1,Mujeeb_Ur_Rahman,Mujeeb
Uthappa,RV Uthappa,7,Robin_Uthappa,Robin
Vaas,WPUJC Vaas,1,WPUJC_Vaas,WPUJC
Valthaty,PC Valthaty,2,PC_Valthaty,PC
Varun,CV Varun,2,CV_Varun,CV
Vettori,DL Vettori,1,DL_Vettori,DL
Vihari,GH Vihari,2,Hanuma_Vihari,Hanuma
Vijay,M Vijay,6,Murali_Vijay,Murali
Vinay_Kumar,R Vinay Kumar,3,R_Vinay_Kumar,R
Voges,AC Voges,1,AC_Voges,AC
Vohra,M Vohra,3,Manan_Vohra,Manan
Wagh,SB Wagh,1,SB_Wagh,SB
Warne,SK Warne,4,SK_Warne,SK
Warner,DA Warner,17,David_Warner,David
Watson,SR Watson,16,SR_Watson,SR
White,CL White,1,CL_White,CL
Williamson,KS Williamson,5,Kane_Williamson,Kane
Wright,LJ Wright,1,LJ_Wright,LJ
Yadav,UT Yadav,8,Kuldeep_Yadav,Kuldeep
Yadav,SA Yadav,5,Sanjay_Yadav,Sanjay
Yadav,Kuldeep Yadav,1,Umesh_Yadav,Umesh
Zampa,A Zampa,1,Adam_Zampa,Adam
de_Kock,Q de Kock,4,Quinton_de_Kock,Quinton
de_Villiers,AB de Villiers,25,AB_de_Villiers,AB
du_Plessis,F du Plessis,6,Faf_du_Plessis,Faf
